unit_id,period,expectancy_strength,fairness_perception,strategic_alignment,intrinsic_support,feedback_clarity,distortion_risk,overload_pressure,ethical_risk,cooperation_support,recognition_legitimacy,reward_transparency,hidden_labor_recognition,performance_risk,incentive_gaming_risk,symbolic_reward_risk
Unit_01,1,83,81,82,79,80,18,24,16,82,80,81,78,0,0,0
Unit_01,2,81,79,80,77,78,20,27,18,80,78,79,76,0,0,0
Unit_01,3,79,77,78,75,76,22,30,20,78,76,77,74,0,0,0
Unit_02,1,65,60,64,61,63,40,44,38,58,59,60,55,0,0,0
Unit_02,2,61,56,60,57,59,45,49,43,54,55,56,51,1,1,1
Unit_02,3,57,52,56,53,55,50,54,48,50,51,52,47,1,1,1
Unit_03,1,87,85,86,83,84,12,18,14,86,84,85,82,0,0,0
Unit_03,2,85,83,84,81,82,14,21,16,84,82,83,80,0,0,0
Unit_03,3,83,81,82,79,80,16,24,18,82,80,81,78,0,0,0
Unit_04,1,39,34,41,36,38,72,70,71,35,33,34,31,1,1,1
Unit_04,2,36,31,38,33,35,77,75,76,32,30,31,28,1,1,1
Unit_04,3,33,28,35,30,32,82,80,81,29,27,28,25,1,1,1
Unit_05,1,76,72,75,70,73,31,35,29,74,72,73,70,0,0,0
Unit_05,2,73,69,72,67,70,35,39,33,71,69,70,67,0,0,0
Unit_05,3,70,66,69,64,67,39,43,37,68,66,67,64,0,0,0
Unit_06,1,48,46,47,45,46,61,63,58,44,43,44,40,1,1,1
Unit_06,2,44,42,43,41,42,66,68,63,40,39,40,36,1,1,1
Unit_06,3,40,38,39,37,38,71,73,68,36,35,36,32,1,1,1
Unit_07,1,80,76,79,75,77,27,31,24,78,76,77,74,0,0,0
Unit_07,2,78,74,77,73,75,30,34,27,76,74,75,72,0,0,0
Unit_07,3,75,71,74,70,72,34,38,31,73,71,72,69,0,0,0
Unit_08,1,41,36,40,38,38,76,78,71,37,35,36,33,1,1,1
Unit_08,2,38,33,37,35,35,81,83,76,34,32,33,30,1,1,1
Unit_08,3,35,30,34,32,32,86,88,81,31,29,30,27,1,1,1
Unit_09,1,82,79,81,78,80,22,29,20,81,79,80,77,0,0,0
Unit_09,2,80,77,79,76,78,25,32,23,79,77,78,75,0,0,0
Unit_09,3,77,74,76,73,75,29,36,27,76,74,75,72,0,0,0
Unit_10,1,43,40,40,39,41,69,71,66,40,38,39,35,1,1,1
Unit_10,2,39,36,36,35,37,74,76,71,36,34,35,31,1,1,1
Unit_10,3,35,32,32,31,33,79,81,76,32,30,31,27,1,1,1
