unit_id,period,trust_generation,communication_clarity,motivational_support,legitimacy_quality,adaptive_coordination,psychological_safety,role_clarity,ethical_accountability,decision_transparency,voice_access,ambiguity_pressure,distrust_pressure,fragmentation_pressure,overload_pressure,voice_suppression_risk,performance_risk,legitimacy_decay_risk,fragmentation_risk
Unit_01,1,83,81,79,82,80,81,80,82,81,80,20,18,22,24,0,0,0,0
Unit_01,2,81,79,77,80,78,79,78,80,79,78,23,21,25,27,0,0,0,0
Unit_01,3,79,77,75,78,76,77,76,78,77,76,26,24,28,30,0,0,0,0
Unit_02,1,62,64,61,60,63,58,62,59,61,57,42,40,41,43,0,0,0,0
Unit_02,2,58,60,57,56,59,54,58,55,57,53,47,45,46,48,1,1,1,0
Unit_02,3,54,56,53,52,55,50,54,51,53,49,52,50,51,53,1,1,1,1
Unit_03,1,87,85,83,86,84,85,84,86,85,84,14,12,16,18,0,0,0,0
Unit_03,2,85,83,81,84,82,83,82,84,83,82,17,15,19,21,0,0,0,0
Unit_03,3,83,81,79,82,80,81,80,82,81,80,20,18,22,24,0,0,0,0
Unit_04,1,34,38,36,32,39,33,36,31,35,32,71,73,69,70,1,1,1,1
Unit_04,2,31,35,33,29,36,30,33,28,32,29,76,78,74,75,1,1,1,1
Unit_04,3,28,32,30,26,33,27,30,25,29,26,81,83,79,80,1,1,1,1
Unit_05,1,76,74,72,73,75,72,73,72,74,70,31,33,35,37,0,0,0,0
Unit_05,2,73,71,69,70,72,69,70,69,71,67,35,37,39,41,0,0,0,0
Unit_05,3,70,68,66,67,69,66,67,66,68,64,39,41,43,45,0,0,0,0
Unit_06,1,48,46,45,44,47,42,45,43,46,42,61,58,63,60,1,1,1,1
Unit_06,2,44,42,41,40,43,38,41,39,42,38,66,63,68,65,1,1,1,1
Unit_06,3,40,38,37,36,39,34,37,35,38,34,71,68,73,70,1,1,1,1
Unit_07,1,80,78,76,77,79,76,78,77,78,75,27,24,31,29,0,0,0,0
Unit_07,2,78,76,74,75,77,74,76,75,76,73,30,27,34,32,0,0,0,0
Unit_07,3,75,73,71,72,74,71,73,72,73,70,34,31,38,36,0,0,0,0
Unit_08,1,36,37,35,33,36,34,35,32,34,33,76,78,71,77,1,1,1,1
Unit_08,2,33,34,32,30,33,31,32,29,31,30,81,83,76,82,1,1,1,1
Unit_08,3,30,31,29,27,30,28,29,26,28,27,86,88,81,87,1,1,1,1
Unit_09,1,81,82,78,80,82,79,80,80,81,78,20,22,29,24,0,0,0,0
Unit_09,2,79,80,76,78,80,77,78,78,79,76,23,25,32,27,0,0,0,0
Unit_09,3,76,77,73,75,77,74,75,75,76,73,27,29,36,31,0,0,0,0
Unit_10,1,38,40,36,34,39,37,36,35,37,35,69,71,66,70,1,1,1,1
Unit_10,2,34,36,32,30,35,33,32,31,33,31,74,76,71,75,1,1,1,1
Unit_10,3,30,32,28,26,31,29,28,27,29,27,79,81,76,80,1,1,1,1
