unit_id,period,robustness,redundancy,adaptive_learning,coordination_integrity,governance_responsiveness,psychological_safety,external_exposure,complexity_load,accumulated_fragility,shock_intensity,successful_recovery,major_functional_degradation
Unit_01,1,78,72,81,79,74,83,42,51,22,44,1,0
Unit_01,2,76,70,80,78,73,82,45,52,24,51,1,0
Unit_01,3,74,69,77,76,71,80,48,54,27,63,1,0
Unit_02,1,61,55,64,63,58,62,57,61,46,42,1,0
Unit_02,2,58,52,60,59,55,58,62,65,51,57,0,0
Unit_02,3,54,48,56,55,51,54,68,71,58,72,0,1
Unit_03,1,83,77,85,82,79,86,39,47,18,38,1,0
Unit_03,2,81,76,83,80,78,84,41,49,20,61,1,0
Unit_03,3,79,74,82,78,76,82,44,50,23,69,1,0
Unit_04,1,49,34,43,41,39,36,71,76,69,49,0,0
Unit_04,2,47,31,40,38,36,33,74,79,73,66,0,1
Unit_04,3,44,29,38,35,34,31,77,82,78,81,0,1
Unit_05,1,69,61,70,68,66,71,54,58,39,36,1,0
Unit_05,2,66,60,68,65,63,68,59,61,42,55,1,0
Unit_05,3,63,56,65,62,60,65,64,66,47,70,0,0
Unit_06,1,72,67,74,71,69,76,49,55,31,43,1,0
Unit_06,2,70,65,72,69,67,73,51,56,33,62,1,0
Unit_06,3,67,62,69,66,64,70,55,59,37,75,0,0
Unit_07,1,56,43,52,50,48,49,63,70,61,46,0,0
Unit_07,2,53,40,49,47,45,46,68,74,66,64,0,1
Unit_07,3,50,38,45,43,42,43,73,78,71,79,0,1
Unit_08,1,87,81,88,84,82,87,35,44,16,33,1,0
Unit_08,2,85,79,86,83,80,85,38,45,18,52,1,0
Unit_08,3,82,77,84,81,78,83,41,48,20,71,1,0
