unit_id,period,sensing_quality,interpretive_coherence,knowledge_integration,option_diversity,governance_quality,adaptive_learning,bias_pressure,political_distortion,complexity_load,environmental_turbulence,strategic_success,symbolic_strategy
Unit_01,1,84,79,82,74,77,81,18,14,58,62,1,0
Unit_01,2,82,77,80,72,75,79,21,16,60,65,1,0
Unit_01,3,80,75,78,70,73,77,24,18,63,68,1,0
Unit_02,1,66,61,64,56,60,63,44,40,61,58,1,0
Unit_02,2,63,58,61,52,56,59,49,45,65,63,0,1
Unit_02,3,60,54,57,48,52,55,54,50,69,68,0,1
Unit_03,1,88,84,86,79,82,85,15,12,52,56,1,0
Unit_03,2,86,82,84,77,80,83,17,14,55,60,1,0
Unit_03,3,84,80,82,75,78,81,20,16,58,64,1,0
Unit_04,1,52,43,45,38,39,43,71,66,70,66,0,1
Unit_04,2,49,40,42,35,36,40,76,71,74,71,0,1
Unit_04,3,46,37,39,32,33,37,81,76,78,76,0,1
Unit_05,1,73,68,71,64,67,70,34,31,58,55,1,0
Unit_05,2,70,65,68,61,64,67,38,35,62,60,1,0
Unit_05,3,67,62,65,58,61,64,42,39,66,65,1,0
Unit_06,1,61,55,58,50,53,56,57,52,68,67,0,1
Unit_06,2,57,51,54,46,49,52,62,57,72,72,0,1
Unit_06,3,54,47,50,42,45,48,67,62,76,77,0,1
Unit_07,1,76,72,75,67,70,73,29,25,55,52,1,0
Unit_07,2,74,70,73,65,68,71,32,28,58,56,1,0
Unit_07,3,71,67,70,62,65,68,36,32,62,61,1,0
Unit_08,1,50,42,44,36,38,41,73,68,72,69,0,1
Unit_08,2,47,39,41,33,35,38,78,73,76,74,0,1
Unit_08,3,44,35,37,30,32,34,83,78,80,79,0,1
Unit_09,1,79,75,78,70,73,76,26,22,56,58,1,0
Unit_09,2,77,73,76,68,71,74,29,25,60,62,1,0
Unit_09,3,74,70,73,65,68,71,33,29,64,66,1,0
Unit_10,1,56,49,51,43,45,48,66,61,71,71,0,1
Unit_10,2,52,45,47,39,41,44,71,66,75,76,0,1
Unit_10,3,49,41,43,35,37,40,76,71,79,81,0,1
