unit_id,period,signal_quality,timeliness,interpretive_clarity,cross_functional_connectivity,psychological_safety,distortion_risk,overload_pressure,hierarchy_delay,external_signal_turbulence,decision_error,escalation_failure
Unit_01,1,84,82,80,79,83,14,32,18,58,0,0
Unit_01,2,82,80,78,77,81,16,35,21,61,0,0
Unit_01,3,80,78,76,75,79,18,38,24,64,0,0
Unit_02,1,66,62,61,58,60,39,52,45,57,0,0
Unit_02,2,62,58,57,54,56,44,57,50,62,1,0
Unit_02,3,58,54,53,50,52,49,62,55,67,1,1
Unit_03,1,88,86,84,82,86,11,28,15,52,0,0
Unit_03,2,86,84,82,80,84,13,31,17,56,0,0
Unit_03,3,84,82,80,78,82,15,34,20,60,0,0
Unit_04,1,50,43,40,37,34,72,73,70,67,1,1
Unit_04,2,47,39,36,33,30,77,78,75,72,1,1
Unit_04,3,44,36,33,30,27,82,83,80,77,1,1
Unit_05,1,73,69,67,65,70,31,46,38,55,0,0
Unit_05,2,70,66,64,62,67,35,50,42,60,0,0
Unit_05,3,67,63,61,59,64,39,54,46,65,1,0
Unit_06,1,61,56,54,51,55,52,61,57,66,1,1
Unit_06,2,57,52,50,47,51,57,66,62,71,1,1
Unit_06,3,53,48,46,43,47,62,71,67,76,1,1
Unit_07,1,76,73,71,69,74,26,41,31,52,0,0
Unit_07,2,74,71,69,67,72,29,44,34,56,0,0
Unit_07,3,71,68,66,64,69,33,48,38,61,0,0
Unit_08,1,48,41,38,35,31,74,75,72,70,1,1
Unit_08,2,45,38,35,32,28,79,80,77,75,1,1
Unit_08,3,42,34,31,29,25,84,85,82,80,1,1
Unit_09,1,79,76,74,72,77,22,37,28,56,0,0
Unit_09,2,77,74,72,70,75,25,40,31,60,0,0
Unit_09,3,74,71,69,67,72,29,44,35,64,0,0
Unit_10,1,55,49,47,44,48,64,68,66,71,1,1
Unit_10,2,51,45,43,40,44,69,73,71,76,1,1
Unit_10,3,48,41,39,36,40,74,78,76,81,1,1
