team_id,period,communication_quality,trust_level,role_clarity,psychological_safety,leadership_support,conflict_load,task_ambiguity,coordination_cost,participation_equity,learning_routine_quality,strong_collective_performance,symbolic_teamwork_risk
Team_01,1,84,82,79,83,80,22,30,34,82,80,1,0
Team_01,2,82,80,77,81,78,24,33,37,80,78,1,0
Team_01,3,80,78,75,79,76,26,36,40,78,76,1,0
Team_02,1,67,64,62,65,63,43,49,53,62,60,1,0
Team_02,2,63,60,58,61,59,48,54,58,58,56,0,1
Team_02,3,59,56,54,57,55,53,59,63,54,52,0,1
Team_03,1,88,86,84,87,85,16,24,28,86,84,1,0
Team_03,2,86,84,82,85,83,18,27,31,84,82,1,0
Team_03,3,84,82,80,83,81,20,30,34,82,80,1,0
Team_04,1,38,36,41,34,39,71,68,72,35,33,0,1
Team_04,2,35,33,38,31,36,76,73,77,32,30,0,1
Team_04,3,32,30,35,28,33,81,78,82,29,27,0,1
Team_05,1,76,73,70,74,72,31,38,44,74,71,1,0
Team_05,2,73,70,67,71,69,35,42,48,71,68,1,0
Team_05,3,70,67,64,68,66,39,46,52,68,65,1,0
Team_06,1,50,48,46,49,47,61,58,66,46,44,0,1
Team_06,2,46,44,42,45,43,66,63,71,42,40,0,1
Team_06,3,42,40,38,41,39,71,68,76,38,36,0,1
Team_07,1,80,76,73,78,75,27,34,40,76,74,1,0
Team_07,2,78,74,71,76,73,30,37,43,74,72,1,0
Team_07,3,75,71,68,73,70,34,41,47,71,69,1,0
Team_08,1,41,39,38,38,41,76,71,70,37,36,0,1
Team_08,2,38,36,35,35,38,81,76,75,34,33,0,1
Team_08,3,35,33,32,32,35,86,81,80,31,30,0,1
Team_09,1,83,79,76,81,78,22,31,36,79,77,1,0
Team_09,2,81,77,74,79,76,25,34,39,77,75,1,0
Team_09,3,78,74,71,76,73,29,38,43,74,72,1,0
Team_10,1,43,40,42,41,39,69,66,71,40,38,0,1
Team_10,2,39,36,38,37,35,74,71,76,36,34,0,1
Team_10,3,35,32,34,33,31,79,76,81,32,30,0,1
