unit_id,period,formal_legitimacy,procedural_fairness,informational_access,practical_influence,ethical_credibility,accountability_quality,voice_access,oversight_strength,arbitrariness_risk,governance_fragmentation,distrust_pressure,informal_power_concentration,governance_risk,shadow_governance_risk,legitimacy_decay_risk
Unit_01,1,84,82,79,81,83,82,80,78,18,24,20,22,0,0,0
Unit_01,2,82,80,77,79,81,80,78,76,20,27,23,25,0,0,0
Unit_01,3,80,78,75,77,79,78,76,74,22,30,26,28,0,0,0
Unit_02,1,65,61,63,62,60,58,57,56,40,44,42,46,0,0,0
Unit_02,2,61,57,59,58,56,54,53,52,45,49,47,51,1,1,1
Unit_02,3,57,53,55,54,52,50,49,48,50,54,52,56,1,1,1
Unit_03,1,88,86,83,85,87,86,84,82,12,18,14,16,0,0,0
Unit_03,2,86,84,81,83,85,84,82,80,14,21,17,19,0,0,0
Unit_03,3,84,82,79,81,83,82,80,78,16,24,20,22,0,0,0
Unit_04,1,39,34,41,38,33,35,31,34,72,69,74,76,1,1,1
Unit_04,2,36,31,38,35,30,32,28,31,77,74,79,81,1,1,1
Unit_04,3,33,28,35,32,27,29,25,28,82,79,84,86,1,1,1
Unit_05,1,76,72,74,73,75,72,70,69,31,35,33,37,0,0,0
Unit_05,2,73,69,71,70,72,69,67,66,35,39,37,41,0,0,0
Unit_05,3,70,66,68,67,69,66,64,63,39,43,41,45,0,0,0
Unit_06,1,48,46,47,45,44,43,42,40,61,63,58,65,1,1,1
Unit_06,2,44,42,43,41,40,39,38,36,66,68,63,70,1,1,1
Unit_06,3,40,38,39,37,36,35,34,32,71,73,68,75,1,1,1
Unit_07,1,80,76,77,78,79,77,75,74,27,31,24,30,0,0,0
Unit_07,2,78,74,75,76,77,75,73,72,30,34,27,33,0,0,0
Unit_07,3,75,71,72,73,74,72,70,69,34,38,31,37,0,0,0
Unit_08,1,41,36,40,37,35,34,33,31,76,71,78,82,1,1,1
Unit_08,2,38,33,37,34,32,31,30,28,81,76,83,87,1,1,1
Unit_08,3,35,30,34,31,29,28,27,25,86,81,88,92,1,1,1
Unit_09,1,83,79,80,81,82,80,78,77,22,29,20,26,0,0,0
Unit_09,2,81,77,78,79,80,78,76,75,25,32,23,29,0,0,0
Unit_09,3,78,74,75,76,77,75,73,72,29,36,27,33,0,0,0
Unit_10,1,43,40,41,39,38,37,35,34,69,66,71,74,1,1,1
Unit_10,2,39,36,37,35,34,33,31,30,74,71,76,79,1,1,1
Unit_10,3,35,32,33,31,30,29,27,26,79,76,81,84,1,1,1
