unit_id,period,goal_clarity,goal_challenge,feedback_quality,employee_commitment,strategic_alignment,overload_pressure,metric_distortion,incentive_misalignment,review_quality,proxy_drift,goal_feasibility,performance_risk,metric_gaming_risk,symbolic_alignment_risk
Unit_01,1,84,78,82,79,83,22,18,16,82,15,80,0,0,0
Unit_01,2,82,76,80,77,81,25,20,18,80,18,78,0,0,0
Unit_01,3,80,74,78,75,79,28,22,20,78,21,76,0,0,0
Unit_02,1,68,64,62,61,65,43,38,40,60,37,63,0,0,0
Unit_02,2,64,60,58,57,61,48,43,45,56,42,59,1,1,1
Unit_02,3,60,56,54,53,57,53,48,50,52,47,55,1,1,1
Unit_03,1,88,82,86,83,87,16,12,14,86,11,84,0,0,0
Unit_03,2,86,80,84,81,85,18,14,16,84,14,82,0,0,0
Unit_03,3,84,78,82,79,83,20,16,18,82,17,80,0,0,0
Unit_04,1,38,41,36,39,40,74,69,72,34,68,32,1,1,1
Unit_04,2,35,38,33,36,37,79,74,77,31,73,29,1,1,1
Unit_04,3,32,35,30,33,34,84,79,82,28,78,26,1,1,1
Unit_05,1,76,72,74,70,75,31,29,30,72,28,72,0,0,0
Unit_05,2,73,69,71,67,72,35,33,34,69,32,69,0,0,0
Unit_05,3,70,66,68,64,69,39,37,38,66,36,66,0,0,0
Unit_06,1,50,48,46,49,47,61,58,60,44,56,45,1,1,1
Unit_06,2,46,44,42,45,43,66,63,65,40,61,41,1,1,1
Unit_06,3,42,40,38,41,39,71,68,70,36,66,37,1,1,1
Unit_07,1,80,76,78,75,79,27,24,26,77,23,76,0,0,0
Unit_07,2,78,74,76,73,77,30,27,29,75,26,74,0,0,0
Unit_07,3,75,71,73,70,74,34,31,33,72,30,71,0,0,0
Unit_08,1,41,39,38,38,40,76,71,70,36,69,35,1,1,1
Unit_08,2,38,36,35,35,37,81,76,75,33,74,32,1,1,1
Unit_08,3,35,33,32,32,34,86,81,80,30,79,29,1,1,1
Unit_09,1,83,79,81,78,82,22,20,19,80,18,79,0,0,0
Unit_09,2,81,77,79,76,80,25,23,22,78,21,77,0,0,0
Unit_09,3,78,74,76,73,77,29,27,26,75,25,74,0,0,0
Unit_10,1,43,40,41,39,40,69,66,68,38,65,37,1,1,1
Unit_10,2,39,36,37,35,36,74,71,73,34,70,33,1,1,1
Unit_10,3,35,32,33,31,32,79,76,78,30,75,29,1,1,1
