unit_id,period,leadership_support,reward_fairness,developmental_opportunity,workload_balance,institutional_trust,cultural_alignment,role_insecurity,exhaustion_pressure,affective_commitment,continuance_commitment,normative_commitment,high_retention_risk,symbolic_commitment_risk
Unit_01,1,84,79,82,76,83,81,18,22,84,38,68,0,0
Unit_01,2,82,77,80,74,81,79,20,25,82,40,66,0,0
Unit_01,3,80,75,78,72,79,77,22,28,80,42,64,0,0
Unit_02,1,64,59,62,57,61,63,40,46,62,52,56,0,0
Unit_02,2,60,55,58,53,57,59,45,51,57,56,54,1,1
Unit_02,3,56,51,54,49,53,55,50,56,52,60,52,1,1
Unit_03,1,88,83,86,80,87,85,14,18,88,34,72,0,0
Unit_03,2,86,81,84,78,85,83,16,21,86,36,70,0,0
Unit_03,3,84,79,82,76,83,81,18,24,84,38,68,0,0
Unit_04,1,34,31,36,28,29,33,72,74,28,78,42,1,1
Unit_04,2,31,28,33,25,26,30,77,79,25,82,40,1,1
Unit_04,3,28,25,30,22,23,27,82,84,22,86,38,1,1
Unit_05,1,76,72,74,68,72,74,31,35,74,44,62,0,0
Unit_05,2,73,69,71,65,69,71,35,39,71,47,60,0,0
Unit_05,3,70,66,68,62,66,68,39,43,68,50,58,0,0
Unit_06,1,48,46,49,42,46,48,61,63,45,68,48,1,1
Unit_06,2,44,42,45,38,42,44,66,68,41,72,46,1,1
Unit_06,3,40,38,41,34,38,40,71,73,37,76,44,1,1
Unit_07,1,80,74,78,71,76,78,27,31,78,40,66,0,0
Unit_07,2,78,72,76,69,74,76,30,34,76,42,64,0,0
Unit_07,3,75,69,73,66,71,73,34,38,73,45,62,0,0
Unit_08,1,39,36,38,35,36,38,76,78,34,80,40,1,1
Unit_08,2,36,33,35,32,33,35,81,83,31,84,38,1,1
Unit_08,3,33,30,32,29,30,32,86,88,28,88,36,1,1
Unit_09,1,83,78,80,73,79,81,22,29,81,39,67,0,0
Unit_09,2,81,76,78,71,77,79,25,32,79,41,65,0,0
Unit_09,3,78,73,75,68,74,76,29,36,76,44,63,0,0
Unit_10,1,40,39,41,36,39,40,69,71,36,74,42,1,1
Unit_10,2,36,35,37,32,35,36,74,76,32,78,40,1,1
Unit_10,3,32,31,33,28,31,32,79,81,28,82,38,1,1
