unit_id,period,participative_behavior,structural_guidance,communication_quality,trust_generation,developmental_support,psychological_safety,decision_fit,cultural_alignment,control_pressure,ambiguity_risk,disengagement_pressure,voice_suppression_risk,performance_risk,style_misfit_risk,authoritarian_overuse_risk,laissez_faire_absence_risk
Unit_01,1,82,80,83,81,79,80,82,81,18,22,20,0,0,0,0,0
Unit_01,2,80,78,81,79,77,78,80,79,20,25,23,0,0,0,0,0
Unit_01,3,78,76,79,77,75,76,78,77,22,28,26,0,0,0,0,0
Unit_02,1,62,65,63,60,59,58,61,60,42,44,41,0,0,0,0,0
Unit_02,2,58,61,59,56,55,54,57,56,47,49,46,1,1,1,1,0
Unit_02,3,54,57,55,52,51,50,53,52,52,54,51,1,1,1,1,0
Unit_03,1,86,84,87,85,83,84,86,85,14,18,16,0,0,0,0,0
Unit_03,2,84,82,85,83,81,82,84,83,16,21,19,0,0,0,0,0
Unit_03,3,82,80,83,81,79,80,82,81,18,24,22,0,0,0,0,0
Unit_04,1,34,39,36,31,35,34,38,33,72,69,71,1,1,1,1,1
Unit_04,2,31,36,33,28,32,31,35,30,77,74,76,1,1,1,1,1
Unit_04,3,28,33,30,25,29,28,32,27,82,79,81,1,1,1,1,1
Unit_05,1,76,75,74,72,70,72,75,73,31,35,33,0,0,0,0,0
Unit_05,2,73,72,71,69,67,69,72,70,35,39,37,0,0,0,0,0
Unit_05,3,70,69,68,66,64,66,69,67,39,43,41,0,0,0,0,0
Unit_06,1,48,47,46,44,43,42,45,44,61,63,58,1,1,1,1,1
Unit_06,2,44,43,42,40,39,38,41,40,66,68,63,1,1,1,1,1
Unit_06,3,40,39,38,36,35,34,37,36,71,73,68,1,1,1,1,1
Unit_07,1,80,79,78,76,75,76,79,77,27,31,24,0,0,0,0,0
Unit_07,2,78,77,76,74,73,74,77,75,30,34,27,0,0,0,0,0
Unit_07,3,75,74,73,71,70,71,74,72,34,38,31,0,0,0,0,0
Unit_08,1,36,40,37,33,35,34,36,35,76,71,78,1,1,1,1,1
Unit_08,2,33,37,34,30,32,31,33,32,81,76,83,1,1,1,1,1
Unit_08,3,30,34,31,27,29,28,30,29,86,81,88,1,1,1,1,1
Unit_09,1,83,82,81,80,78,79,82,80,20,29,22,0,0,0,0,0
Unit_09,2,81,80,79,78,76,77,80,78,23,32,25,0,0,0,0,0
Unit_09,3,78,77,76,75,73,74,77,75,27,36,29,0,0,0,0,0
Unit_10,1,40,41,39,36,38,37,39,38,69,66,71,1,1,1,1,1
Unit_10,2,36,37,35,32,34,33,35,34,74,71,76,1,1,1,1,1
Unit_10,3,32,33,31,28,30,29,31,30,79,76,81,1,1,1,1,1
