unit_id,person_id,capability,motivation,role_clarity,psychological_safety,leadership_trust,cultural_coherence,incentive_alignment,information_flow,learning_capacity,redundancy_slack,workload_pressure,silence_risk,fragmentation_pressure,environmental_uncertainty,behavior_quality,complex_system_risk
Unit_01,Person_01,82,79,81,83,84,82,80,83,82,68,28,18,22,40,85,17
Unit_01,Person_02,79,77,78,83,84,82,80,83,82,68,30,20,24,42,82,20
Unit_01,Person_03,76,74,75,83,84,82,80,83,82,68,33,23,27,44,78,24
Unit_02,Person_01,68,64,63,61,63,62,60,65,59,46,46,38,42,52,64,47
Unit_02,Person_02,65,61,60,61,63,62,60,65,59,46,51,43,47,56,60,53
Unit_02,Person_03,62,58,57,61,63,62,60,65,59,46,56,48,52,60,57,58
Unit_03,Person_01,86,83,84,85,86,84,82,87,84,74,20,12,16,34,89,12
Unit_03,Person_02,83,80,81,85,86,84,82,87,84,74,23,15,19,37,86,15
Unit_03,Person_03,80,77,78,85,86,84,82,87,84,74,26,18,22,40,83,18
Unit_04,Person_01,58,43,39,33,34,35,36,37,31,18,72,76,74,78,42,84
Unit_04,Person_02,55,40,36,33,34,35,36,37,31,18,77,81,79,82,38,89
Unit_04,Person_03,52,37,33,33,34,35,36,37,31,18,82,86,84,86,34,94
Unit_05,Person_01,74,71,72,72,73,71,70,74,70,56,38,30,35,48,75,35
Unit_05,Person_02,71,68,69,72,73,71,70,74,70,56,42,34,39,52,72,40
Unit_05,Person_03,68,65,66,72,73,71,70,74,70,56,46,38,43,56,68,44
Unit_06,Person_01,61,50,48,44,47,45,46,46,40,28,63,58,63,68,49,70
Unit_06,Person_02,58,47,45,44,47,45,46,46,40,28,68,63,68,72,45,75
Unit_06,Person_03,55,44,42,44,47,45,46,46,40,28,73,68,73,76,41,80
Unit_07,Person_01,80,76,78,78,80,78,77,79,78,63,31,22,31,43,80,28
Unit_07,Person_02,77,73,75,78,80,78,77,79,78,63,34,25,34,46,77,31
Unit_07,Person_03,74,70,72,78,80,78,77,79,78,63,38,29,38,50,73,36
Unit_08,Person_01,59,42,38,35,36,36,35,38,32,20,76,76,71,78,40,85
Unit_08,Person_02,56,39,35,35,36,36,35,38,32,20,81,81,76,82,36,90
Unit_08,Person_03,53,36,32,35,36,36,35,38,32,20,86,86,81,86,32,95
Unit_09,Person_01,82,78,80,80,81,79,78,82,80,66,27,18,29,42,83,22
Unit_09,Person_02,79,75,77,80,81,79,78,82,80,66,30,21,32,45,80,25
Unit_09,Person_03,76,72,74,80,81,79,78,82,80,66,34,25,36,49,76,30
Unit_10,Person_01,60,45,41,37,39,38,37,40,34,22,70,70,66,74,43,78
Unit_10,Person_02,57,42,38,37,39,38,37,40,34,22,75,75,71,78,39,83
Unit_10,Person_03,54,39,35,37,39,38,37,40,34,22,80,80,76,82,35,88
