team_id,period,competence_trust,integrity_trust,benevolence_trust,reciprocity_norms,communication_reliability,opportunism_risk,power_imbalance,uncertainty_load,leadership_credibility,institutional_trust,strong_collaboration,symbolic_cooperation_risk
Team_01,1,84,82,78,81,83,16,20,52,84,82,1,0
Team_01,2,82,80,76,79,81,18,23,55,82,80,1,0
Team_01,3,80,78,74,77,79,20,26,58,80,78,1,0
Team_02,1,67,62,60,64,65,40,46,56,63,61,1,0
Team_02,2,63,58,56,60,61,45,51,61,59,57,0,1
Team_02,3,59,54,52,56,57,50,56,66,55,53,0,1
Team_03,1,88,86,82,85,87,12,16,48,88,86,1,0
Team_03,2,86,84,80,83,85,14,18,52,86,84,1,0
Team_03,3,84,82,78,81,83,16,20,56,84,82,1,0
Team_04,1,43,36,34,39,41,72,69,52,34,32,0,1
Team_04,2,40,33,31,36,38,77,74,57,31,29,0,1
Team_04,3,37,30,28,33,35,82,79,62,28,26,0,1
Team_05,1,76,72,69,71,73,31,35,55,74,72,1,0
Team_05,2,73,69,66,68,70,35,39,60,71,69,1,0
Team_05,3,70,66,63,65,67,39,43,65,68,66,1,0
Team_06,1,52,48,46,49,50,61,59,66,48,46,0,1
Team_06,2,48,44,42,45,46,66,64,71,44,42,0,1
Team_06,3,44,40,38,41,42,71,69,76,40,38,0,1
Team_07,1,80,76,73,75,78,27,30,52,78,76,1,0
Team_07,2,78,74,71,73,76,30,33,56,76,74,1,0
Team_07,3,75,71,68,70,73,34,37,61,73,71,1,0
Team_08,1,45,39,38,38,41,76,71,70,39,36,0,1
Team_08,2,42,36,35,35,38,81,76,75,36,33,0,1
Team_08,3,39,33,32,32,35,86,81,80,33,30,0,1
Team_09,1,83,79,75,78,81,22,26,56,81,79,1,0
Team_09,2,81,77,73,76,79,25,29,60,79,77,1,0
Team_09,3,78,74,70,73,76,29,33,64,76,74,1,0
Team_10,1,47,40,42,41,43,69,66,71,40,39,0,1
Team_10,2,43,36,38,37,39,74,71,76,36,35,0,1
Team_10,3,39,32,34,33,35,79,76,81,32,31,0,1
