unit_id,period,vision_credibility,motivational_alignment,intellectual_stimulation,developmental_support,institutional_trust,psychological_safety,change_communication,implementation_support,meaning_making_quality,resistance_intensity,ambiguity_pressure,change_fatigue,voice_suppression_risk,adaptive_performance_risk,style_misfit_risk,purpose_exploitation_risk
Unit_01,1,84,81,80,79,82,80,83,78,82,20,22,24,0,0,0,0
Unit_01,2,82,79,78,77,80,78,81,76,80,23,25,27,0,0,0,0
Unit_01,3,80,77,76,75,78,76,79,74,78,26,28,30,0,0,0,0
Unit_02,1,64,62,61,60,59,58,63,57,61,42,44,43,0,0,0,0
Unit_02,2,60,58,57,56,55,54,59,53,57,47,49,48,1,1,1,0
Unit_02,3,56,54,53,52,51,50,55,49,53,52,54,53,1,1,1,0
Unit_03,1,88,85,84,83,87,84,86,82,86,14,18,16,0,0,0,0
Unit_03,2,86,83,82,81,85,82,84,80,84,17,21,19,0,0,0,0
Unit_03,3,84,81,80,79,83,80,82,78,82,20,24,22,0,0,0,0
Unit_04,1,36,39,35,34,31,34,37,32,36,72,70,74,1,1,1,1
Unit_04,2,33,36,32,31,28,31,34,29,33,77,75,79,1,1,1,1
Unit_04,3,30,33,29,28,25,28,31,26,30,82,80,84,1,1,1,1
Unit_05,1,76,73,72,70,72,71,75,69,74,31,35,37,0,0,0,0
Unit_05,2,73,70,69,67,69,68,72,66,71,35,39,41,0,0,0,0
Unit_05,3,70,67,66,64,66,65,69,63,68,39,43,45,0,0,0,0
Unit_06,1,48,46,45,43,44,42,47,41,46,61,63,58,1,1,1,1
Unit_06,2,44,42,41,39,40,38,43,37,42,66,68,63,1,1,1,1
Unit_06,3,40,38,37,35,36,34,39,33,38,71,73,68,1,1,1,1
Unit_07,1,80,78,77,75,76,76,79,74,78,27,31,29,0,0,0,0
Unit_07,2,78,76,75,73,74,74,77,72,76,30,34,32,0,0,0,0
Unit_07,3,75,73,72,70,71,71,74,69,73,34,38,36,0,0,0,0
Unit_08,1,38,40,36,35,33,34,39,33,37,76,71,78,1,1,1,1
Unit_08,2,35,37,33,32,30,31,36,30,34,81,76,83,1,1,1,1
Unit_08,3,32,34,30,29,27,28,33,27,31,86,81,88,1,1,1,1
Unit_09,1,83,80,79,78,81,79,82,77,81,20,29,22,0,0,0,0
Unit_09,2,81,78,77,76,79,77,80,75,79,23,32,25,0,0,0,0
Unit_09,3,78,75,74,73,76,74,77,72,76,27,36,29,0,0,0,0
Unit_10,1,41,39,38,36,36,37,40,35,39,69,66,71,1,1,1,1
Unit_10,2,37,35,34,32,32,33,36,31,35,74,71,76,1,1,1,1
Unit_10,3,33,31,30,28,28,29,32,27,31,79,76,81,1,1,1,1
