team_id,period,trust_level,communication_clarity,psychological_safety,procedural_fairness,integrative_skill,blame_intensity,power_asymmetry,resource_strain,mediation_access,collaborative_resolution,symbolic_resolution_risk
Team_01,1,82,80,81,83,76,18,22,45,84,1,0
Team_01,2,80,78,79,81,74,20,25,48,82,1,0
Team_01,3,78,76,77,79,72,22,28,51,80,1,0
Team_02,1,63,62,64,60,57,42,47,56,62,1,0
Team_02,2,59,58,60,56,53,47,52,61,58,0,1
Team_02,3,55,54,56,52,49,52,57,66,54,0,1
Team_03,1,86,84,85,87,80,14,16,42,88,1,0
Team_03,2,84,82,83,85,78,16,18,46,86,1,0
Team_03,3,82,80,81,83,76,18,20,50,84,1,0
Team_04,1,33,36,34,31,38,73,70,68,32,0,1
Team_04,2,30,33,31,28,35,78,75,73,29,0,1
Team_04,3,27,30,28,25,32,83,80,78,26,0,1
Team_05,1,74,71,72,70,68,31,35,50,72,1,0
Team_05,2,71,68,69,67,65,35,39,55,69,1,0
Team_05,3,68,65,66,64,62,39,43,60,66,1,0
Team_06,1,50,48,49,46,44,61,59,66,45,0,1
Team_06,2,46,44,45,42,40,66,64,71,41,0,1
Team_06,3,42,40,41,38,36,71,69,76,37,0,1
Team_07,1,78,75,76,74,73,27,30,52,76,1,0
Team_07,2,76,73,74,72,71,30,33,56,74,1,0
Team_07,3,73,70,71,69,68,34,37,61,71,1,0
Team_08,1,41,39,38,36,37,76,71,70,34,0,1
Team_08,2,38,36,35,33,34,81,76,75,31,0,1
Team_08,3,35,33,32,30,31,86,81,80,28,0,1
Team_09,1,81,78,79,77,75,22,26,56,80,1,0
Team_09,2,79,76,77,75,73,25,29,60,78,1,0
Team_09,3,76,73,74,72,70,29,33,64,75,1,0
Team_10,1,43,40,42,39,41,69,66,71,38,0,1
Team_10,2,39,36,38,35,37,74,71,76,34,0,1
Team_10,3,35,32,34,31,33,79,76,81,30,0,1
