unit_id,period,value_alignment,normative_consistency,leadership_credibility,psychological_safety,shared_meaning,contradiction,fragmentation,incentive_distortion,external_pressure,strong_institutional_performance,symbolic_culture_risk
Unit_01,1,84,80,81,84,82,16,22,20,58,1,0
Unit_01,2,82,78,79,82,80,18,25,22,61,1,0
Unit_01,3,80,76,77,80,78,20,28,24,64,1,0
Unit_02,1,65,62,63,66,64,42,47,45,56,1,0
Unit_02,2,61,58,59,62,60,47,52,50,61,0,1
Unit_02,3,57,54,55,58,56,52,57,55,66,0,1
Unit_03,1,88,84,85,87,86,12,16,15,52,1,0
Unit_03,2,86,82,83,85,84,14,18,17,56,1,0
Unit_03,3,84,80,81,83,82,16,20,19,60,1,0
Unit_04,1,39,41,36,34,38,73,69,71,67,0,1
Unit_04,2,36,38,33,31,35,78,74,76,72,0,1
Unit_04,3,33,35,30,28,32,83,79,81,77,0,1
Unit_05,1,74,70,69,72,71,31,35,36,55,1,0
Unit_05,2,71,67,66,69,68,35,39,40,60,1,0
Unit_05,3,68,64,63,66,65,39,43,44,65,1,0
Unit_06,1,50,52,48,46,49,61,59,66,66,0,1
Unit_06,2,46,48,44,42,45,66,64,71,71,0,1
Unit_06,3,42,44,40,38,41,71,69,76,76,0,1
Unit_07,1,78,74,75,76,73,27,30,31,52,1,0
Unit_07,2,76,72,73,74,71,30,33,34,56,1,0
Unit_07,3,73,69,70,71,68,34,37,38,61,1,0
Unit_08,1,41,39,34,36,38,76,71,72,70,0,1
Unit_08,2,38,36,31,33,35,81,76,77,75,0,1
Unit_08,3,35,33,28,30,32,86,81,82,80,0,1
Unit_09,1,81,77,76,78,75,22,26,27,56,1,0
Unit_09,2,79,75,74,76,73,25,29,30,60,1,0
Unit_09,3,76,72,71,73,70,29,33,34,64,1,0
Unit_10,1,43,45,40,42,41,69,66,74,71,0,1
Unit_10,2,39,41,36,38,37,74,71,79,76,0,1
Unit_10,3,35,37,32,34,33,79,76,84,81,0,1
