unit_id,period,signal_quality,viewpoint_diversity,analytical_discipline,structured_challenge,hierarchy_suppression,time_pressure,routine_reinforcement,learning_review,group_conformity,decision_error,escalation_of_commitment
Unit_01,1,84,80,82,81,14,38,36,79,28,0,0
Unit_01,2,82,78,80,79,16,41,39,77,31,0,0
Unit_01,3,80,76,78,77,18,44,42,75,34,0,0
Unit_02,1,66,58,63,55,42,59,55,53,49,0,0
Unit_02,2,62,54,59,51,47,64,60,49,54,1,0
Unit_02,3,58,50,55,47,52,69,65,45,59,1,1
Unit_03,1,88,84,86,85,11,34,31,83,24,0,0
Unit_03,2,86,82,84,83,13,37,34,81,27,0,0
Unit_03,3,84,80,82,81,15,40,37,79,30,0,0
Unit_04,1,50,36,41,24,72,74,69,31,70,1,1
Unit_04,2,47,33,38,21,77,79,74,28,75,1,1
Unit_04,3,44,30,35,18,82,84,79,25,80,1,1
Unit_05,1,73,68,70,66,31,50,47,65,39,0,0
Unit_05,2,70,65,67,63,35,55,51,62,43,0,0
Unit_05,3,67,62,64,60,39,60,55,59,47,1,0
Unit_06,1,61,50,55,43,57,67,62,47,62,1,1
Unit_06,2,57,46,51,39,62,72,67,43,67,1,1
Unit_06,3,53,42,47,35,67,77,72,39,72,1,1
Unit_07,1,76,72,74,70,26,45,42,70,34,0,0
Unit_07,2,74,70,72,68,29,49,46,68,37,0,0
Unit_07,3,71,67,69,65,33,53,50,65,41,0,0
Unit_08,1,48,34,39,22,74,76,71,29,72,1,1
Unit_08,2,45,31,36,19,79,81,76,26,77,1,1
Unit_08,3,42,28,33,16,84,86,81,23,82,1,1
Unit_09,1,79,75,77,73,22,42,39,74,31,0,0
Unit_09,2,77,73,75,71,25,46,43,72,34,0,0
Unit_09,3,74,70,72,68,29,50,47,69,38,0,0
Unit_10,1,55,43,48,36,66,71,68,38,69,1,1
Unit_10,2,51,39,44,32,71,76,73,34,74,1,1
Unit_10,3,48,35,40,28,76,81,78,30,79,1,1
