unit_id,period,mission_clarity,value_practice_alignment,narrative_continuity,leadership_credibility,behavioral_consistency,internal_fragmentation,identity_contradiction,legitimacy_pressure,stakeholder_legitimacy,symbolic_identity_risk
Unit_01,1,86,82,79,81,80,20,16,60,1,0
Unit_01,2,84,80,77,79,78,23,18,63,1,0
Unit_01,3,82,78,75,77,76,26,20,66,1,0
Unit_02,1,68,62,64,63,61,44,39,56,1,0
Unit_02,2,64,58,60,59,57,49,44,61,0,1
Unit_02,3,60,54,56,55,53,54,49,66,0,1
Unit_03,1,90,86,84,85,84,16,12,52,1,0
Unit_03,2,88,84,82,83,82,18,14,56,1,0
Unit_03,3,86,82,80,81,80,20,16,60,1,0
Unit_04,1,48,36,41,39,38,69,72,67,0,1
Unit_04,2,45,33,38,36,35,74,77,72,0,1
Unit_04,3,42,30,35,33,32,79,82,77,0,1
Unit_05,1,74,69,70,68,67,35,31,55,1,0
Unit_05,2,71,66,67,65,64,39,35,60,1,0
Unit_05,3,68,63,64,62,61,43,39,65,1,0
Unit_06,1,58,49,52,50,48,59,57,66,0,1
Unit_06,2,54,45,48,46,44,64,62,71,0,1
Unit_06,3,50,41,44,42,40,69,67,76,0,1
Unit_07,1,78,74,73,75,72,30,27,52,1,0
Unit_07,2,76,72,71,73,70,33,30,56,1,0
Unit_07,3,73,69,68,70,67,37,34,61,1,0
Unit_08,1,46,34,39,37,35,71,74,70,0,1
Unit_08,2,43,31,36,34,32,76,79,75,0,1
Unit_08,3,40,28,33,31,29,81,84,80,0,1
Unit_09,1,81,76,75,77,75,26,22,56,1,0
Unit_09,2,79,74,73,75,73,29,25,60,1,0
Unit_09,3,76,71,70,72,70,33,29,64,1,0
Unit_10,1,52,41,45,43,42,66,69,71,0,1
Unit_10,2,48,37,41,39,38,71,74,76,0,1
Unit_10,3,45,33,37,35,34,76,79,81,0,1
