unit_id,period,autonomy_support,competence_development,recognition_quality,institutional_trust,goal_clarity,fairness_perception,workload_strain,control_pressure,relatedness,meaningful_work,psychological_safety,leadership_credibility,performance_risk,burnout_risk,controlled_motivation_risk
Unit_01,1,84,80,79,82,83,81,22,18,82,84,80,82,0,0,0
Unit_01,2,82,78,77,80,81,79,25,20,80,82,78,80,0,0,0
Unit_01,3,80,76,75,78,79,77,28,22,78,80,76,78,0,0,0
Unit_02,1,64,62,60,59,65,60,45,42,61,63,58,59,0,0,0
Unit_02,2,60,58,56,55,61,56,50,47,57,59,54,55,1,1,1
Unit_02,3,56,54,52,51,57,52,55,52,53,55,50,51,1,1,1
Unit_03,1,88,84,83,87,86,85,16,14,86,88,84,86,0,0,0
Unit_03,2,86,82,81,85,84,83,18,16,84,86,82,84,0,0,0
Unit_03,3,84,80,79,83,82,81,20,18,82,84,80,82,0,0,0
Unit_04,1,34,39,36,31,40,35,73,71,37,38,34,33,1,1,1
Unit_04,2,31,36,33,28,37,32,78,76,34,35,31,30,1,1,1
Unit_04,3,28,33,30,25,34,29,83,81,31,32,28,27,1,1,1
Unit_05,1,76,72,70,72,75,73,35,31,74,76,72,73,0,0,0
Unit_05,2,73,69,67,69,72,70,39,35,71,73,69,70,0,0,0
Unit_05,3,70,66,64,66,69,67,43,39,68,70,66,67,0,0,0
Unit_06,1,48,46,45,46,47,44,62,61,46,48,43,45,1,1,1
Unit_06,2,44,42,41,42,43,40,67,66,42,44,39,41,1,1,1
Unit_06,3,40,38,37,38,39,36,72,71,38,40,35,37,1,1,1
Unit_07,1,80,76,75,78,79,76,30,27,78,80,76,77,0,0,0
Unit_07,2,78,74,73,76,77,74,33,30,76,78,74,75,0,0,0
Unit_07,3,75,71,70,73,74,71,37,34,73,75,71,72,0,0,0
Unit_08,1,36,38,36,33,40,35,76,74,37,39,34,35,1,1,1
Unit_08,2,33,35,33,30,37,32,81,79,34,36,31,32,1,1,1
Unit_08,3,30,32,30,27,34,29,86,84,31,33,28,29,1,1,1
Unit_09,1,83,79,78,81,82,80,24,20,81,83,79,80,0,0,0
Unit_09,2,81,77,76,79,80,78,27,23,79,81,77,78,0,0,0
Unit_09,3,78,74,73,76,77,75,31,27,76,78,74,75,0,0,0
Unit_10,1,40,41,39,36,41,38,70,69,40,42,37,38,1,1,1
Unit_10,2,36,37,35,32,37,34,75,74,36,38,33,34,1,1,1
Unit_10,3,32,33,31,28,33,30,80,79,32,34,29,30,1,1,1
