unit_id,period,sensing_quality,interpretive_coherence,governance_alignment,learning_capability,resource_flexibility,institutional_legitimacy,organizational_inertia,fragmentation,resistance_friction,environmental_pressure,successful_transformation,symbolic_change
Unit_01,1,84,81,79,83,74,80,21,18,24,62,1,0
Unit_01,2,82,79,77,81,72,78,24,20,27,65,1,0
Unit_01,3,80,77,75,79,70,76,27,23,30,68,1,0
Unit_02,1,66,61,58,64,57,61,50,47,45,58,1,0
Unit_02,2,63,58,55,61,54,58,55,52,50,63,0,1
Unit_02,3,60,54,51,57,50,54,60,57,55,68,0,1
Unit_03,1,88,85,83,87,78,84,17,15,20,56,1,0
Unit_03,2,86,83,81,85,76,82,19,17,22,60,1,0
Unit_03,3,84,81,79,83,74,80,21,19,24,64,1,0
Unit_04,1,52,44,39,46,41,43,74,66,68,62,0,1
Unit_04,2,49,40,35,42,38,39,78,71,73,67,0,1
Unit_04,3,46,37,32,39,35,36,82,76,78,72,0,1
Unit_05,1,73,68,66,70,63,69,38,34,36,55,1,0
Unit_05,2,70,65,63,67,60,66,42,38,40,60,1,0
Unit_05,3,67,62,60,64,57,63,46,42,44,65,1,0
Unit_06,1,61,55,52,58,50,55,59,54,57,67,0,1
Unit_06,2,57,51,48,54,46,51,64,59,62,72,0,1
Unit_06,3,54,47,44,50,43,47,69,64,67,77,0,1
Unit_07,1,76,72,70,74,66,72,32,29,31,52,1,0
Unit_07,2,74,70,68,72,64,70,35,32,34,56,1,0
Unit_07,3,71,67,65,69,61,67,39,36,38,61,1,0
Unit_08,1,50,42,38,44,39,41,76,70,72,69,0,1
Unit_08,2,47,39,34,40,35,37,81,75,77,74,0,1
Unit_08,3,44,35,31,36,32,34,86,80,82,79,0,1
Unit_09,1,79,75,73,77,69,75,28,25,29,58,1,0
Unit_09,2,77,73,71,75,67,73,31,28,32,62,1,0
Unit_09,3,74,70,68,72,64,70,35,32,36,66,1,0
Unit_10,1,56,49,45,52,46,49,68,62,64,71,0,1
Unit_10,2,52,45,41,48,42,45,73,67,69,76,0,1
Unit_10,3,49,41,37,44,39,41,78,72,74,81,0,1
