team_id,period,leadership_openness,inclusion_quality,learning_review_quality,knowledge_sharing,blame_intensity,status_asymmetry,perceived_penalty,workload_pressure,strong_team_performance,symbolic_voice_risk
Team_01,1,84,82,80,81,16,20,18,52,1,0
Team_01,2,82,80,78,79,18,23,20,55,1,0
Team_01,3,80,78,76,77,20,26,22,58,1,0
Team_02,1,65,63,61,64,40,46,38,58,1,0
Team_02,2,61,59,57,60,45,51,43,63,0,1
Team_02,3,57,55,53,56,50,56,48,68,0,1
Team_03,1,88,86,84,85,12,16,10,48,1,0
Team_03,2,86,84,82,83,14,18,12,52,1,0
Team_03,3,84,82,80,81,16,20,14,56,1,0
Team_04,1,34,38,36,39,72,69,74,52,0,1
Team_04,2,31,35,33,36,77,74,79,57,0,1
Team_04,3,28,32,30,33,82,79,84,62,0,1
Team_05,1,74,72,69,71,31,35,33,55,1,0
Team_05,2,71,69,66,68,35,39,37,60,1,0
Team_05,3,68,66,63,65,39,43,41,65,1,0
Team_06,1,50,48,45,49,61,59,64,66,0,1
Team_06,2,46,44,41,45,66,64,69,71,0,1
Team_06,3,42,40,37,41,71,69,74,76,0,1
Team_07,1,78,76,73,75,27,30,26,52,1,0
Team_07,2,76,74,71,73,30,33,29,56,1,0
Team_07,3,73,71,68,70,34,37,33,61,1,0
Team_08,1,41,39,36,38,76,71,78,70,0,1
Team_08,2,38,36,33,35,81,76,83,75,0,1
Team_08,3,35,33,30,32,86,81,88,80,0,1
Team_09,1,81,79,76,78,22,26,24,56,1,0
Team_09,2,79,77,74,76,25,29,27,60,1,0
Team_09,3,76,74,71,73,29,33,31,64,1,0
Team_10,1,43,42,40,41,69,66,71,71,0,1
Team_10,2,39,38,36,37,74,71,76,76,0,1
Team_10,3,35,34,32,33,79,76,81,81,0,1
