unit_id,period,perceived_loss,uncertainty,identity_threat,routine_embeddedness,power_displacement,trust_in_leadership,participation_quality,implementation_clarity,workload_strain,failed_change_history,constructive_adoption,symbolic_compliance
Unit_01,1,28,34,25,52,22,82,78,84,41,0,1,0
Unit_01,2,30,36,27,54,24,80,76,82,43,0,1,0
Unit_01,3,33,39,30,57,27,78,74,80,46,0,1,0
Unit_02,1,52,58,49,66,44,61,55,58,62,0,1,0
Unit_02,2,57,63,53,69,48,57,51,54,67,0,0,1
Unit_02,3,62,68,58,73,53,52,47,49,72,1,0,1
Unit_03,1,24,31,22,48,19,86,82,88,38,0,1,0
Unit_03,2,27,33,24,50,21,84,80,86,40,0,1,0
Unit_03,3,29,35,26,52,23,82,78,84,42,0,1,0
Unit_04,1,74,78,69,82,62,34,28,35,75,1,0,1
Unit_04,2,79,82,74,86,67,30,24,31,80,1,0,1
Unit_04,3,83,86,78,89,72,27,21,28,84,1,0,1
Unit_05,1,45,51,42,62,38,68,63,66,57,0,1,0
Unit_05,2,49,55,46,65,42,64,59,62,61,0,1,0
Unit_05,3,54,60,50,69,46,60,55,58,66,0,0,1
Unit_06,1,58,64,55,70,51,55,50,53,68,1,0,1
Unit_06,2,63,69,59,74,56,50,45,48,73,1,0,1
Unit_06,3,68,73,64,78,60,46,41,44,78,1,0,1
Unit_07,1,39,46,36,59,34,72,69,70,52,0,1,0
Unit_07,2,42,49,39,61,37,70,66,68,55,0,1,0
Unit_07,3,46,53,43,64,40,67,62,65,59,0,1,0
Unit_08,1,76,80,71,84,65,32,27,33,79,1,0,1
Unit_08,2,81,84,76,88,70,28,23,29,83,1,0,1
Unit_08,3,85,88,80,91,75,25,20,26,87,1,0,1
Unit_09,1,35,41,33,56,30,76,72,74,49,0,1,0
Unit_09,2,38,45,36,58,33,74,70,72,52,0,1,0
Unit_09,3,42,49,40,61,36,71,67,69,56,0,1,0
Unit_10,1,66,71,63,76,58,44,39,43,74,1,0,1
Unit_10,2,71,76,68,81,63,39,34,38,79,1,0,1
Unit_10,3,77,81,73,85,68,35,30,34,84,1,0,1
