unit_id,period,information_quality,interpretive_openness,memory_retention,communication_flow,psychological_safety,governance_support,complexity_load,silo_intensity,incentive_distortion,turnover_pressure,adaptive_improvement,knowledge_decay_event
Unit_01,1,82,78,81,84,80,75,48,22,18,21,1,0
Unit_01,2,81,77,80,83,79,74,50,24,19,23,1,0
Unit_01,3,79,75,78,81,77,73,52,26,21,25,1,0
Unit_02,1,68,61,64,66,62,58,59,45,41,35,1,0
Unit_02,2,66,58,62,63,59,55,62,49,45,39,0,0
Unit_02,3,63,54,59,60,55,52,66,54,50,43,0,1
Unit_03,1,86,83,84,87,85,80,42,18,15,17,1,0
Unit_03,2,84,81,82,85,83,78,44,20,16,19,1,0
Unit_03,3,83,80,81,84,82,77,46,22,18,20,1,0
Unit_04,1,57,39,42,46,37,41,70,73,61,55,0,1
Unit_04,2,54,36,39,43,34,38,74,77,66,60,0,1
Unit_04,3,51,33,36,40,31,35,78,82,71,64,0,1
Unit_05,1,74,69,72,73,70,66,54,35,31,30,1,0
Unit_05,2,72,67,70,71,68,64,57,38,34,33,1,0
Unit_05,3,69,64,67,68,65,61,61,42,38,36,1,0
Unit_06,1,71,64,69,70,67,62,56,40,35,31,1,0
Unit_06,2,68,61,66,67,64,59,61,45,39,35,1,0
Unit_06,3,65,57,62,64,60,55,66,50,44,39,0,1
Unit_07,1,61,47,52,55,49,46,66,62,56,48,0,1
Unit_07,2,58,43,48,51,45,42,70,67,61,53,0,1
Unit_07,3,55,40,45,48,41,39,74,72,66,58,0,1
Unit_08,1,88,85,86,89,87,82,39,16,14,16,1,0
Unit_08,2,86,83,84,87,85,80,41,18,15,18,1,0
Unit_08,3,84,82,83,86,84,79,44,20,17,19,1,0
Unit_09,1,76,70,75,74,72,68,51,32,28,26,1,0
Unit_09,2,74,68,73,72,70,66,54,35,30,29,1,0
Unit_09,3,71,65,70,69,67,63,58,39,34,32,1,0
Unit_10,1,59,46,50,52,48,44,68,64,58,52,0,1
Unit_10,2,56,42,47,49,44,40,72,69,63,57,0,1
Unit_10,3,53,38,43,45,40,37,76,74,68,62,0,1
