team_id,person_id,capability,motivation,role_clarity,autonomy,fairness,team_coordination,leadership_trust,psychological_safety,communication_quality,culture_strength,workload_pressure,burnout_pressure,institutional_support,voice_access,outcome_quality,work_system_risk
Team_01,Person_01,82,79,81,78,80,83,84,82,81,80,28,25,82,80,84,18
Team_01,Person_02,79,77,78,76,78,83,84,82,81,80,30,28,82,80,81,21
Team_01,Person_03,76,74,75,73,75,83,84,82,81,80,33,31,82,80,78,24
Team_02,Person_01,68,64,63,60,62,65,63,61,64,62,46,44,61,59,65,44
Team_02,Person_02,65,61,60,57,59,65,63,61,64,62,51,49,61,59,61,50
Team_02,Person_03,62,58,57,54,56,65,63,61,64,62,56,54,61,59,58,55
Team_03,Person_01,86,83,84,81,83,87,86,85,86,84,20,18,86,84,88,13
Team_03,Person_02,83,80,81,78,80,87,86,85,86,84,23,21,86,84,85,16
Team_03,Person_03,80,77,78,75,77,87,86,85,86,84,26,24,86,84,82,19
Team_04,Person_01,58,43,39,38,36,41,34,33,37,35,72,74,36,34,42,78
Team_04,Person_02,55,40,36,35,33,41,34,33,37,35,77,79,36,34,38,83
Team_04,Person_03,52,37,33,32,30,41,34,33,37,35,82,84,36,34,34,88
Team_05,Person_01,74,71,72,69,70,75,73,72,74,71,38,36,72,70,75,33
Team_05,Person_02,71,68,69,66,67,75,73,72,74,71,42,40,72,70,71,38
Team_05,Person_03,68,65,66,63,64,75,73,72,74,71,46,44,72,70,68,42
Team_06,Person_01,61,50,48,46,45,49,47,44,46,45,63,61,46,43,49,67
Team_06,Person_02,58,47,45,43,42,49,47,44,46,45,68,66,46,43,45,72
Team_06,Person_03,55,44,42,40,39,49,47,44,46,45,73,71,46,43,41,77
Team_07,Person_01,80,76,78,75,77,79,80,78,79,78,31,29,79,77,80,26
Team_07,Person_02,77,73,75,72,74,79,80,78,79,78,34,32,79,77,77,30
Team_07,Person_03,74,70,72,69,71,79,80,78,79,78,38,36,79,77,73,34
Team_08,Person_01,59,42,38,36,35,39,36,35,38,36,76,78,37,35,40,81
Team_08,Person_02,56,39,35,33,32,39,36,35,38,36,81,83,37,35,36,86
Team_08,Person_03,53,36,32,30,29,39,36,35,38,36,86,88,37,35,32,91
Team_09,Person_01,82,78,80,77,79,82,81,80,82,79,27,24,80,78,83,22
Team_09,Person_02,79,75,77,74,76,82,81,80,82,79,30,27,80,78,80,25
Team_09,Person_03,76,72,74,71,73,82,81,80,82,79,34,31,80,78,76,30
Team_10,Person_01,60,45,41,40,38,42,39,37,40,38,70,72,39,37,43,75
Team_10,Person_02,57,42,38,37,35,42,39,37,40,38,75,77,39,37,39,80
Team_10,Person_03,54,39,35,34,32,42,39,37,40,38,80,82,39,37,35,85
