unit_id,avg_learning_profile,knowledge_decay_risk,adaptive_pattern,review_priority,interpretive_note
Unit_01,High,Low,Stable adaptive improvement,Routine Monitoring,Strong memory and communication support organizational learning.
Unit_02,Moderate,Moderate,Variable adaptive improvement,Structured Review,Silo intensity and incentive distortion increase across periods.
Unit_03,High,Low,Stable adaptive improvement,Routine Monitoring,Strong interpretive openness and psychological safety.
Unit_04,Low,High,Repeated learning failure,Immediate Review,Synthetic example of weak safety, high fragmentation, and memory decay.
Unit_05,Moderate-High,Low-Moderate,Mostly stable learning,Routine Monitoring,Monitor rising complexity and silo intensity.
Unit_06,Moderate,Moderate,Partial learning conversion,Structured Review,Learning capacity weakens as turnover pressure rises.
Unit_07,Low,High,Repeated learning failure,Immediate Review,Synthetic example of knowledge decay and blocked adaptation.
Unit_08,High,Low,Stable adaptive improvement,Routine Monitoring,Strong profile across knowledge-system variables.
Unit_09,Moderate-High,Low,Stable adaptive improvement,Routine Monitoring,Good learning capacity with moderate complexity exposure.
Unit_10,Low,High,Repeated learning failure,Immediate Review,Synthetic example of high knowledge decay risk.
