unit_id,period,value_clarity,leadership_consistency,reinforcement_alignment,psychological_safety,accountability_strength,decoupling_risk,incentive_contradiction,hierarchy_exemption,legitimacy_pressure,values_credible,symbolic_values_risk
Unit_01,1,86,83,81,82,80,16,20,12,58,1,0
Unit_01,2,84,81,79,80,78,18,23,14,61,1,0
Unit_01,3,82,79,77,78,76,20,26,16,64,1,0
Unit_02,1,68,62,58,63,60,42,47,39,56,1,0
Unit_02,2,64,58,54,59,56,47,52,44,61,0,1
Unit_02,3,60,54,50,55,52,52,57,49,66,0,1
Unit_03,1,90,86,84,85,83,12,15,9,52,1,0
Unit_03,2,88,84,82,83,81,14,18,11,56,1,0
Unit_03,3,86,82,80,81,79,16,21,13,60,1,0
Unit_04,1,48,36,31,38,34,74,70,76,67,0,1
Unit_04,2,45,33,28,35,31,79,75,81,72,0,1
Unit_04,3,42,30,25,32,28,84,80,86,77,0,1
Unit_05,1,74,69,66,72,68,31,36,27,55,1,0
Unit_05,2,71,66,63,69,65,35,40,31,60,1,0
Unit_05,3,68,63,60,66,62,39,44,35,65,1,0
Unit_06,1,58,50,43,48,45,61,66,63,66,0,1
Unit_06,2,54,46,39,44,41,66,71,68,71,0,1
Unit_06,3,50,42,35,40,37,71,76,73,76,0,1
Unit_07,1,78,74,70,75,72,27,31,23,52,1,0
Unit_07,2,76,72,68,73,70,30,34,26,56,1,0
Unit_07,3,73,69,65,70,67,34,38,30,61,1,0
Unit_08,1,46,34,30,36,32,76,72,78,70,0,1
Unit_08,2,43,31,27,33,29,81,77,83,75,0,1
Unit_08,3,40,28,24,30,26,86,82,88,80,0,1
Unit_09,1,81,76,73,78,75,22,27,19,56,1,0
Unit_09,2,79,74,71,76,73,25,30,22,60,1,0
Unit_09,3,76,71,68,73,70,29,34,26,64,1,0
Unit_10,1,52,43,37,42,38,69,74,71,71,0,1
Unit_10,2,48,39,33,38,34,74,79,76,76,0,1
Unit_10,3,45,35,29,34,30,79,84,81,81,0,1
