unit_id,period,leadership_credibility,narrative_coherence,reinforcement_alignment,adaptive_learning,psychological_safety,identity_adaptability,resistance_intensity,subcultural_fragmentation,legacy_lock_in,leadership_turnover,successful_cultural_adoption,symbolic_culture_change
Unit_01,1,84,82,81,80,83,76,22,26,29,0,1,0
Unit_01,2,82,80,79,78,81,74,25,29,32,0,1,0
Unit_01,3,80,78,77,76,79,72,28,32,35,0,1,0
Unit_02,1,66,62,59,63,61,58,45,44,50,0,1,0
Unit_02,2,62,58,55,59,57,54,50,49,55,0,0,1
Unit_02,3,58,54,51,55,53,50,55,54,60,1,0,1
Unit_03,1,88,86,85,84,87,81,18,21,24,0,1,0
Unit_03,2,86,84,83,82,85,79,20,23,26,0,1,0
Unit_03,3,84,82,81,80,83,77,22,25,28,0,1,0
Unit_04,1,48,39,31,42,36,41,72,68,74,1,0,1
Unit_04,2,45,36,28,39,33,38,77,73,79,1,0,1
Unit_04,3,42,33,25,36,30,35,82,78,84,1,0,1
Unit_05,1,73,69,66,70,72,67,36,38,45,0,1,0
Unit_05,2,70,66,63,67,69,64,40,42,49,0,1,0
Unit_05,3,67,63,60,64,66,61,44,46,53,0,1,0
Unit_06,1,57,51,43,54,50,49,61,59,66,1,0,1
Unit_06,2,53,47,39,50,46,45,66,64,71,1,0,1
Unit_06,3,49,43,35,46,42,41,71,69,76,1,0,1
Unit_07,1,76,73,70,74,75,70,31,33,40,0,1,0
Unit_07,2,74,71,68,72,73,68,34,36,43,0,1,0
Unit_07,3,71,68,65,69,70,65,38,40,47,0,1,0
Unit_08,1,46,38,30,40,34,39,74,70,76,1,0,1
Unit_08,2,43,35,27,37,31,36,79,75,81,1,0,1
Unit_08,3,40,31,24,34,28,33,84,80,86,1,0,1
Unit_09,1,79,76,73,77,78,73,27,29,35,0,1,0
Unit_09,2,77,74,71,75,76,71,30,32,38,0,1,0
Unit_09,3,74,71,68,72,73,68,34,36,42,0,1,0
Unit_10,1,52,45,37,48,44,43,66,63,70,1,0,1
Unit_10,2,48,41,33,44,40,39,71,68,75,1,0,1
Unit_10,3,45,37,29,40,36,35,76,73,80,1,0,1
